Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BMS1,~,TestPoint_Pad_1.0x1.0mm,265.7094,-166.9796,180.0,top
BOTS1,BOTS,TestPoint_Pad_1.0x1.0mm,182.5404,-166.9796,180.0,top
BSPD1,~,TestPoint_Pad_1.0x1.0mm,281.686,-166.9796,180.0,top
BYPASS1,~,TestPoint_Pad_1.0x1.0mm,236.0676,-166.9796,180.0,top
C1,470nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,229.0572,-173.6964,90.0,top
C2,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,246.251419,-151.160079,180.0,top
CS1,CS,TestPoint_Pad_1.0x1.0mm,195.2404,-166.9796,180.0,top
D1,BZT52C16,D_SOD-123,165.2256,-148.5701,180.0,top
D10,White,LED_0805_2012Metric,154.21514,-158.369,270.0,bottom
D11,Red,LED_0805_2012Metric,181.9103,-175.5371,-90.0,top
D12,Red,LED_0805_2012Metric,181.9103,-175.5371,270.0,bottom
D13,Red,LED_0805_2012Metric,173.0965,-175.5371,-90.0,top
D14,Red,LED_0805_2012Metric,173.0965,-175.5371,270.0,bottom
D15,BZT52C16,D_SOD-123,137.2825,-153.9192,-90.0,top
D16,BZT52C16,D_SOD-123,150.81054,-153.9192,-90.0,top
D17,Blue,LED_0805_2012Metric,137.2317,-175.5038,-90.0,top
D18,Blue,LED_0805_2012Metric,137.2317,-175.5038,270.0,bottom
D19,Blue,LED_0805_2012Metric,149.8555,-175.5038,-90.0,top
D2,BZT52C16,D_SOD-123,243.3603,-170.5919,180.0,top
D20,Blue,LED_0805_2012Metric,149.8555,-175.5038,270.0,bottom
D21,Blue,LED_0805_2012Metric,162.2253,-175.5371,-90.0,top
D22,Blue,LED_0805_2012Metric,162.2253,-175.5371,270.0,bottom
D23,BZT52C16,D_SOD-123,133.8271,-171.054,-90.0,top
D24,BZT52C16,D_SOD-123,146.4509,-171.054,-90.0,top
D25,BZT52C16,D_SOD-123,158.8207,-171.054,-90.0,top
D26,BZT52C16,D_SOD-123,274.4093,-170.5919,180.0,top
D27,Red,LED_0805_2012Metric,268.3002,-155.7736,-90.0,top
D28,Red,LED_0805_2012Metric,265.7602,-155.7736,270.0,bottom
D29,BZT52C16,D_SOD-123,271.4228,-174.4357,-90.0,top
D3,BZT52C16,D_SOD-123,260.2504,-178.689,90.0,top
D30,BZT52C16,D_SOD-123,257.7622,-170.5919,180.0,top
D31,Red,LED_0805_2012Metric,251.3584,-155.7736,-90.0,top
D32,Red,LED_0805_2012Metric,248.0564,-155.7736,270.0,bottom
D33,BZT52C16,D_SOD-123,252.8594,-181.3664,-90.0,top
D34,BZT52C16,D_SOD-123,262.338519,-151.3303,-90.0,top
D35,BZT52C16,D_SOD-123,262.338519,-145.9678,-90.0,top
D36,BZT52C16,D_SOD-123,211.709,-169.3469,90.0,top
D37,BZT52C16,D_SOD-123,200.2565,-170.5919,180.0,top
D38,BZT52C16,D_SOD-123,187.5565,-170.5919,180.0,top
D39,BZT52C16,D_SOD-123,175.8217,-170.5919,180.0,top
D4,BZT52C16,D_SOD-123,233.0196,-174.4414,-90.0,top
D40,Green,LED_0805_2012Metric,167.9194,-155.7736,-90.0,top
D41,Green,LED_0805_2012Metric,166.5224,-155.7736,270.0,bottom
D42,Red,LED_0805_2012Metric,218.8464,-155.7736,-90.0,top
